model,ESS,burnin_runtime,sample_runtime,optimization_runtime,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
stan_uncollapsed,1179.03250352967,366.77,300.9,0,N,10,4000,2000,0.0333333333333333,0.137863446539777,0.096551724137931,1
stan_uncollapsed,1512.75598087836,578.02,477.52,0,N,10,4000,2000,0.22,0.194083808828946,0.096551724137931,2
stan_uncollapsed,971.252361718077,566.48,391.3,0,N,10,4000,2000,0.0433333333333333,0.295784714246277,0.310344827586207,3
stan_uncollapsed,1204.40823750072,372.16,267.15,0,N,20,4000,2000,0.07,0.0414117664879163,0.0275862068965517,1
stan_uncollapsed,1069.48642504788,605.1,311.43,0,N,20,4000,2000,0.16,0.050193589635737,0.0758620689655172,2
stan_uncollapsed,1098.24384098876,545.29,443.68,0,N,20,4000,2000,0.0566666666666667,0.049340273774577,0.0206896551724138,3
stan_uncollapsed,640.71060758841,406.96,189.75,0,N,30,4000,2000,0.0644444444444444,0.02687092318377,0.0551724137931034,1
stan_uncollapsed,842.487083676834,423.24,278.23,0,N,30,4000,2000,0.14,0.0279416136340452,0.0551724137931034,2
stan_uncollapsed,912.353499829624,614.21,352.81,0,N,30,4000,2000,0.0577777777777778,0.0291552360720694,0.0275862068965517,3
stan_uncollapsed,335.741161637805,352.74,256.79,0,N,50,4000,2000,0.0886666666666667,0.0172462779124988,0.0689655172413793,1
stan_uncollapsed,645.649970162285,681.09,369.29,0,N,50,4000,2000,0.144,0.014886854827652,0.0620689655172414,2
stan_uncollapsed,495.938191381038,660.76,490.4,0,N,50,4000,2000,0.120666666666667,0.0177622407121897,0.0551724137931034,3
stan_uncollapsed,219.851387141645,555.9,209.63,0,N,100,4000,2000,0.114,0.00738890991369049,0.0896551724137931,1
stan_uncollapsed,313.067670134002,417.31,181.84,0,N,100,4000,2000,0.112333333333333,0.005772883034414,0.0482758620689655,2
stan_uncollapsed,204.133789995687,840.34,534.28,0,N,100,4000,2000,0.143333333333333,0.00864476238527534,0.103448275862069,3
stan_uncollapsed,213.616413579673,1136.69,485.02,0,N,250,4000,2000,0.107333333333333,0.00212032268967239,0.0896551724137931,1
stan_uncollapsed,257.178404482813,923.33,590.1,0,N,250,4000,2000,0.0652,0.00172597854066098,0.0551724137931034,2
stan_uncollapsed,205.987111812804,2386.16,853.75,0,N,250,4000,2000,0.122266666666667,0.00263438784390792,0.0413793103448276,3
stan_uncollapsed,153.835928273945,2763.68,1017.54,0,N,500,4000,2000,0.157,0.00117328306222616,0.0482758620689655,1
stan_uncollapsed,181.29966320544,2730.44,2031.19,0,N,500,4000,2000,0.159866666666667,0.00205427047731637,0.124137931034483,2
stan_uncollapsed,96.4686664973349,3753.48,1533.25,0,N,500,4000,2000,0.124066666666667,0.0011507421932654,0.0413793103448276,3
stan_uncollapsed,100.207694287887,5045.5,3666.89,0,N,750,4000,2000,0.149511111111111,0.000881364030104606,0.0551724137931034,1
stan_uncollapsed,140.991495417255,4728.83,1960.22,0,N,750,4000,2000,0.0973333333333333,0.000561350270526768,0.00689655172413793,2
stan_uncollapsed,314.76431183278,4999.72,2619.22,0,N,750,4000,2000,0.0747555555555556,0.000545896250519892,0.0413793103448276,3
